Vehicle ID,Time (s),Vehicle Type,Vehicle Length (m),Vehicle Width (m),Longitudinal Position (m),Lateral Position (m),Longitudinal Speed (m/s),Lateral Speed (m/s),Wahoo Speed (m/s),Longitudinal Acceleration (m/s^2),Lateral Acceleration (m/s^2),Flag 1,Flag 2,Cadence (rpm),Bicycle Turn Angle (degree),Direction of the Vehicle (same side/opposite side),Vehicle 1 ID,Vehicle 1 Length,Vehicle 1 Width,Vehicle 1 Longitudinal Position,Vehicle 1 Latitudinal Position,Vehicle 1 Longitudinal Speed (m/s),Vehicle 1 Latitudinal Speed (m/s),Vehicle 1 Longitudinal Acceleration,Vehicle 1 Latitudinal Acceleration,Vehicle 2 ID,Vehicle 2 Length,Vehicle 2 Width,Vehicle 2 Longitudinal Position,Vehicle 2 Latitudinal Position,Vehicle 2 Longitudinal Speed (m/s),Vehicle 2 Latitudinal Speed (m/s),Vehicle 2 Longitudinal Acceleration,Vehicle 2 Latitudinal Acceleration,Vehicle 3 ID,Vehicle 3 Length,Vehicle 3 Width,Vehicle 3 Longitudinal Position,Vehicle 3 Latitudinal Position,Vehicle 3 Longitudinal Speed (m/s),Vehicle 3 Latitudinal Speed (m/s),Vehicle 3 Longitudinal Acceleration,Vehicle 3 Latitudinal Acceleration
1,29-01-2025 20:28:00:782,1,2.2,0.6,-216.3862,-2.58715,0,-5.20229229342049E-05,0,0,-0.000236449653592649,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-155.6504,-2.822554,11.2016451300903,0.00433741119963934,50.9126546777739,0.0197139898682871,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:00:984,1,2.2,0.6,-216.3862,-2.587155,0,-2.50358580175094E-05,0,0,-0.000125168799064348,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-153.4102,-2.821826,11.2015674378684,0.0036385446985447,56.0031432857506,0.0181911987973519,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:01:196,1,2.2,0.6,-216.3862,-2.587175,0,-9.10401151348586E-05,0,0,-0.000413786893787135,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-150.9461,-2.821153,11.2016451300903,0.00305959815506793,50.9126546777739,0.0139061952519177,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:01:397,1,2.2,0.6,-216.3862,-2.587186,0,-5.24560834652578E-05,0,0,-0.000262258436134824,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-148.7059,-2.820638,11.2015674378684,0.00257630900837323,56.0031432857506,0.0128804654656217,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:01:621,1,2.2,0.6,-216.3862,-2.587191,0,-2.27600287837147E-05,0,0,-0.000103446723446784,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-146.2418,-2.82016,11.2016451300903,0.00217195703250306,50.9126546777739,0.00987177303749309,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:01:840,1,2.2,0.6,-216.3862,-2.587199,0,-3.68495704117285E-05,0,0,-0.000167485171294793,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-143.7776,-2.819759,11.2016451300903,0.00182188611359164,50.9126546777739,0.00828066391019256,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:02:40,1,2.2,0.6,-216.3862,-2.587201,0,-1.07296534360755E-05,0,0,-5.36437710275776E-05,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-141.5375,-2.819451,11.2015674378684,0.00153910917621927,56.0031432857506,0.00769490093295586,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:02:265,1,2.2,0.6,-216.3862,-2.587205,0,-1.73409743114016E-05,0,0,-7.88165511975496E-05,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-139.0733,-2.819164,11.2016451300903,0.00130490831693297,50.9126546777739,0.00593094547761561,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:02:466,1,2.2,0.6,-216.3862,-2.587215,0,-5.24560834652578E-05,0,0,-0.000262258436134824,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-136.8332,-2.818943,11.2015674378684,0.00110753867134601,56.0031432857506,0.00553722925384662,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:02:684,1,2.2,0.6,-216.3862,-2.587222,0,-3.25143268338781E-05,0,0,-0.000147781033495405,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-134.369,-2.818735,11.2016451300903,0.000942915478182464,50.9126546777739,0.00428564997136676,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:02:878,1,2.2,0.6,-216.3862,-2.587213,0,4.76873486047798E-05,0,0,0.000238416760122567,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-132.1289,-2.818574,11.2015674378684,0.000804724007705659,56.0031432857506,0.00402328282706832,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:03:101,1,2.2,0.6,-216.3862,-2.58721,0,1.40895416280138E-05,0,0,6.40384478480091E-05,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-129.6647,-2.818424,11.2016451300903,0.000683884674405902,50.9126546777739,0.00310832773785336,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:03:298,1,2.2,0.6,-216.3862,-2.587219,0,-4.53029811745408E-05,0,0,-0.000226495922116439,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-127.4246,-2.818307,11.2017200373839,0.000584170020408553,56.0039062193829,0.00292060531150145,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:03:524,1,2.2,0.6,-216.3862,-2.587211,0,3.46819486228033E-05,0,0,0.000157633102395099,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-124.9603,-2.818198,11.2019919495765,0.000497469200558335,50.9142310087979,0.0022610498124797,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:03:716,1,2.2,0.6,-216.3862,-2.587209,0,8.34528600583646E-06,0,0,4.17229330214493E-05,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-122.7201,-2.818113,11.2019489366572,0.00042441740258254,56.0050506198315,0.00212190916509085,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:03:940,1,2.2,0.6,-216.3862,-2.587221,0,-5.09391120397423E-05,0,0,-0.000231523619142802,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-120.2559,-2.818032,11.2020613134737,0.00036632808232836,50.9145462750027,0.00166499964404824,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:04:144,1,2.2,0.6,-216.3862,-2.587236,0,-7.51075740525282E-05,0,0,-0.000375506397193043,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-118.0157,-2.81797,11.2018726368994,0.000313544317076427,56.0046691530153,0.00156759019780588,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
1,29-01-2025 20:28:04:358,1,2.2,0.6,-216.3862,-2.587246,0,-4.55200575674293E-05,0,0,-0.000206893446893568,NoLane,150,0,0,opposite traffic lane,2,2.1,0.8,-115.5514,-2.81791,11.2020613134737,0.000269868912721188,50.9145462750027,0.00122658257801187,3,9.5,3,0,0,0,0,0,0,4,9.5,3,0,0,0,0,0,0
